label,Mean_N_P_Ratio,Mean_N_K_Ratio,Mean_Soil_pH,Mean_Rainfall_mm
apple,0.16,0.1,5.93,112.65
banana,1.23,2.01,5.98,104.63
blackgram,0.6,2.16,7.13,67.88
chickpea,0.6,0.5,7.34,80.06
coconut,1.89,0.73,5.98,175.69
coffee,3.79,3.42,6.79,158.07
cotton,2.61,6.19,6.91,80.4
grapes,0.18,0.12,6.03,69.61
jute,1.72,1.97,6.73,174.79
kidneybeans,0.31,1.07,5.75,105.92
lentil,0.28,1.0,6.93,45.68
maize,1.65,4.02,6.25,84.77
mango,0.83,0.68,5.77,94.7
mothbeans,0.46,1.09,6.83,51.2
mungbean,0.46,1.09,6.72,48.4
muskmelon,7.3,2.01,6.36,24.69
orange,1.49,2.09,7.02,110.47
papaya,0.86,1.0,6.74,142.63
pigeonpeas,0.31,1.03,5.79,149.46
pomegranate,1.28,0.47,6.43,107.53
rice,1.73,2.02,6.43,236.18
watermelon,7.71,1.99,6.5,50.79
